text |-| klass
Albert Einstein (/ˈaɪnstaɪn/;[4] German: [ˈalbɛɐ̯t ˈaɪnʃtaɪn] ( listen); 14 March 1879 – 18 April 1955) was a German-born theoretical physicist. He developed the general theory of relativity, one of the two pillars of modern physics (alongside quantum mechanics).[1][5]:274 Einstein's work is also known for its influence on the philosophy of science.[6][7] Einstein is best known in popular culture for his mass–energy equivalence formula E = mc2 (which has been dubbed "the world's most famous equation").[8] He received the 1921 Nobel Prize in Physics for his "services to theoretical physics", in particular his discovery of the law of the photoelectric effect, a pivotal step in the evolution of quantum theory |-| 1
Nelson Rolihlahla Mandela (/mænˈdɛlə/;[1] 18 July 1918 – 5 December 2013) was a South African anti-apartheid revolutionary, politician, and philanthropist, who served as President of South Africa from 1994 to 1999. He was the country's first black head of state and the first elected in a fully representative democratic election. His government focused on dismantling the legacy of apartheid by tackling institutionalised racism and fostering racial reconciliation. Ideologically an African nationalist and democratic socialist, he served as President of the African National Congress (ANC) party from 1991 to 1997. |-| 1
William Henry "Bill" Gates III (born October 28, 1955) is an American business magnate, investor, author and philanthropist.[2][3] In 1975, Gates and Paul Allen co-founded Microsoft, which became the world's largest PC software company. During his career at Microsoft, Gates held the positions of chairman, CEO and chief software architect, and was the largest individual shareholder until May 2014.[4][a] Gates has authored and co-authored several books. |-| 1
Franklin Delano Roosevelt (/ˈroʊzəvəlt/, his own pronunciation,[2] or /ˈroʊzəvɛlt/; January 30, 1882 – April 12, 1945), commonly known as FDR, was an American statesman and political leader who served as the 32nd President of the United States, from 1933 to 1945. A Democrat, he won a record four presidential elections and dominated his party after 1932 as a central figure in world events during the mid-20th century, leading the United States during a time of worldwide economic depression and total war. His program for relief, recovery and reform, known as the New Deal, involved a great expansion of the role of the federal government in the economy. As a dominant leader of the Democratic Party, he built the New Deal Coalition that brought together and united labor unions, big city machines, white ethnics, African Americans, and rural white Southerners in support of the party. The Coalition significantly realigned American politics after 1932, creating the Fifth Party System and defining American liberalism throughout the middle third of the 20th century. |-| 1
Mohandas Karamchand Gandhi (/ˈɡɑːndi, ˈɡæn-/;[2] Hindustani: [ˈmoːɦənd̪aːs ˈkərəmtʃənd̪ ˈɡaːnd̪ʱi] ( listen); 2 October 1869 – 30 January 1948) was the preeminent leader of the Indian independence movement in British-ruled India. Employing nonviolent civil disobedience, Gandhi led India to independence and inspired movements for civil rights and freedom across the world. The honorific Mahatma (Sanskrit: "high-souled", "venerable")[3]—applied to him first in 1914 in South Africa,[4]—is now used worldwide. He is also called Bapu (Gujarati: endearment for "father",[5] "papa"[5][6]) in India. In common parlance in India he is often called Gandhiji. He is unofficially called the Father of the Nation.[7][8] |-| 1
Nike, Inc. (official, US /ˈnaɪki/; also, non-US /ˈnaɪk/)[note 1] is an American multinational corporation that is engaged in the design, development, manufacturing and worldwide marketing and sales of footwear, apparel, equipment, accessories and services. The company is headquartered near Beaverton, Oregon, in the Portland metropolitan area. It is one of the world's largest suppliers of athletic shoes and apparel[5] and a major manufacturer of sports equipment, with revenue in excess of US$24.1 billion in its fiscal year 2012 (ending May 31, 2012). As of 2012, it employed more than 44,000 people worldwide. In 2014 the brand alone was valued at $19 billion, making it the most valuable brand among sports businesses.[6] The company was founded on January 25, 1964, as Blue Ribbon Sports |-| 2
Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, and online services. Its hardware products include the iPhone smartphone, the iPad tablet computer, the Mac personal computer, the iPod portable media player, the Apple Watch smartwatch, and the Apple TV digital media player. Apple's consumer software includes the macOS and iOS operating systems, the iTunes media player, the Safari web browser, and the iLife and iWork creativity and productivity suites. Its online services include the iTunes Store, the iOS App Store and Mac App Store, and iCloud. Apple was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne in April 1976 to develop and sell personal computers.[5] It was incorporated as Apple Computer, Inc. in January 1977, and was renamed as Apple Inc. in January 2007 to reflect its shifted focus toward consumer electronics. Apple (NASDAQ: AAPL) joined the Dow Jones Industrial Average in March 2015.[6] |-| 2
McDonald's is the world's largest chain of hamburger fast food restaurants, serving around 68 million customers daily in 119 countries across 36,538 outlets. Founded in the United States in 1940, the company began as a barbecue restaurant operated by Richard and Maurice McDonald. In 1948, they reorganized their business as a hamburger stand using production line principles. Businessman Ray Kroc joined the company as a franchise agent in 1955. He subsequently purchased the chain from the McDonald brothers and oversaw its worldwide growth. Based in Oak Brook, Illinois, McDonald's confirmed plans to move its global headquarters to Chicago by early 2018.[3][4]. A McDonald's restaurant is operated by either a franchisee, an affiliate, or the corporation itself. The McDonald's Corporation revenues come from the rent, royalties, and fees paid by the franchisees, as well as sales in company-operated restaurants. According to a 2012 BBC report, McDonald's is the world's second largest private employer—behind Walmart—with 1.9 million employees, 1.5 million of whom work for franchises. |-| 2
BTG Pactual is a Brazilian financial company that operates in the markets of Investment Banking, Wealth Management and Asset Management. It offers advisory services in mergers and acquisitions, wealth planning, loans and financings, as well as investment solutions and market analyses. With headquarters in São Paulo, the clients of the Bank – which started out as a brokerage firm in 1983 in Rio de Janeiro – are companies, retail and institutional investors, as well as municipal, state and federal governments. With assets of R$218,3 bn and shares traded on the BM&F Bovespa and NYSE Euronext, BTG Pactual has offices in the main Latin American cities and in the world's leading financial centers.[citation needed]. Since December 3, 2015, BTG Pactual is controlled by the Top Seven Partners, composed of members Marcelo Kalim, Roberto Sallouti, Persio Arida, Antonio Carlos Canto Porto Filho, James Marcos de Oliveira, Renato Monteiro dos Santos and Guilherme da Costa Paes. The group has acted as bank executives during André dos Santos Esteves' management, a former BTG Pactual controller and CEO. |-| 2
Wal-Mart Stores, Inc.[8] (/ˈwɔːlmɑːrt/), doing business as Walmart, is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores and grocery stores. Headquartered in Bentonville, Arkansas, the company was founded by Sam Walton in 1962 and incorporated on October 31, 1969. As of July 31, 2016, Walmart has 11,539 stores and clubs in 28 countries, under a total of 63 banners.[1][2][9] The company operates under the Walmart name in the United States and Canada. It operates as Walmart de México y Centroamérica in Mexico and Central America, as Asda in the United Kingdom, as Seiyu in Japan, and as Best Price in India. It has wholly owned operations in Argentina, Brazil, and Canada. It also owns and operates the Sam's Club retail warehouses.[10][11] |-| 2
Rio de Janeiro (/ˈriːoʊ di ʒəˈnɛəroʊ, -deɪ ʒə-, -də dʒə-/; Portuguese pronunciation: [ˈʁi.u dʒi ʒɐˈnejɾu];[3] River of January), or simply Rio,[4] is the second-most populous municipality in Brazil and the sixth-most populous in the Americas. The metropolis is anchor to the Rio de Janeiro metropolitan area, the second-most populous metropolitan area in Brazil and sixth-most populous in the Americas. Rio de Janeiro is the capital of the state of Rio de Janeiro, Brazil's third-most populous state. Part of the city has been designated as a World Heritage Site, named "Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea", by UNESCO on 1 July 2012 as a Cultural Landscape.[5] |-| 3
Leipzig (/ˈlaɪpsɪɡ/; German: [ˈlaɪptsɪç] ( listen)) is the largest city in the federal state of Saxony, Germany. With a population of 570,087 inhabitants[3] (1,001,220 residents in the larger urban zone)[1] it is Germany's tenth most populous city.[4][5] Leipzig is located about 160 kilometers (99 miles) southwest of Berlin at the confluence of the White Elster, Pleisse, and Parthe rivers at the southern end of the North German Plain. Leipzig has been a trade city since at least the time of the Holy Roman Empire.[6] The city sits at the intersection of the Via Regia and Via Imperii, two important Medieval trade routes. Leipzig was once one of the major European centers of learning and culture in fields such as music and publishing.[7] Leipzig became a major urban center within the German Democratic Republic (East Germany) after World War II, but its cultural and economic importance declined[7] despite East Germany being the richest economy in the Soviet Bloc.[8] |-| 3
Toronto (Listeni/təˈrɒntoʊ, -tə/,[10][11] local /təˈrɒnoʊ, ˈtrɒ-/) is the most populous city in Canada,[12] the provincial capital of Ontario,[13] and the centre of the Greater Toronto Area, the most populous metropolitan area in Canada.[14] In the 2011 census, Toronto had a population of 2,615,060, making it the fifth largest city in North America.[6]A population estimate from a city report released in 2013 shows the city is now the fourth most populous city in North America, after Mexico City, New York City, and Los Angeles.[15][16] As an established global city,[17] Toronto is an international centre of business, finance, arts, and culture,[18][19] and widely recognized as one of the most multicultural and cosmopolitan cities in the world.[20][21][22][23][24] |-| 3
