klass,text
klass2,"&pizza is a fast-casual pizza brand headquartered in Washington, D.C. According to their mission statement, the brand is known for their gourmet handmade pies, trademark ampersand, inventive flavor combinations, localized store design and dedication to the communities they serve. Founded in July 2012 by Michael Lastoria and Steve Salis, &pizza opened its first store in the H Street Corridor of Washington, D.C. In February 2015, the company announced it had received a $10-million investment for growth and expansion.The brand’s pizzas are made with traditional or ancient grain dough, with toppings that vary from tomato sauce and veggies to the more unusual fig marsala, falafel crumbles, and a strawberry-balsamic finishing vinegar.&pizza introduced gluten-free dough in their shops in 2015.  &pizza also serves housemade craft sodas. &WINE, proprietary red and white wines, were introduced in 2015."
klass2,"16 Handles is an American brand of self-serve frozen yogurt restaurants headquartered in New York City. There are 40 stores in six states, all on the East Coast."
klass2,33m2 (33 square meters) (Ukrainian: 33 квадратних метри) ukrainian DIY retail network of markets and supermarkets with area under 5000 sqm.
klass2,"411 Locals is an online marketing agency, serving small and mid-sized businesses in the US."
klass2,"The 4 Pines Brewing Company is a microbrewery established in 2008 in Manly, New South Wales.In 2010 the company, in partnership with space engineering firm, Saber Astronautics Australia, worked on developing the first space-certified beer.In 2011 the company opened a new brewing facility in Brookvale, with 50hL brewery and bottling line and a small small batch “Keller Door” 5hL brewery. In early 2014 they expanded the company's Brookdale facility.At the inaugural Craft Beer Industry Awards in 2014 4 Pines Brewing Company and Two Birds Brewing were named joint winners of the 'Bintani Champion Large Brewery Award', with the company also winning the 'Champion Pale Ale' for its ESB.In 2015 4 Pines Brewing Company won the 'GrainCorp Trophy for Champion Large Australian Brewery' at the Australian International Beer Awards (AIBA)."
klass2,"A.C. Doukas Basketball (Greek: Αθλητικός Σύλλογος Εκπαιδευτηρίων Δούκα/Α.Σ.Ε.Δ.) is a Greek basketball club based in Marousi, Athens. It is founded in 1979 by Doukas School and its colour is blue and white. The home of the club is the Dais gymnasium in Marousi."
klass2,"AMVJ Basketball is a Dutch basketball club from Amsterdam, part of the major multi-sport club AMVJ (Algemene Maatschappij Voor Jongeren / in English: General Society For Youth)."
klass2,"ARAMCCO in Germany is a multinational corporation established in the year 2012 in Stuttgart, Germany. The company main industry is health and education related."
klass2,"ARC Ratings, SA (ARC Ratings) is an international credit rating agency, with headquarters in Lisbon and other offices in Johannesburg, Harare, Lagos, London, Kuala Lumpur, Malé, Mumbai, Nairobi, Paris and São Paulo.ARC Ratings was originally founded in 1988, as Companhia Portuguesa de Rating (CPR). On the 7 November 2013, the CPR was converted in the ARC Rating, as a joint venture between the Sociedade de Avaliação Estratégica e Risco, Lda (SaeR) of Portugal, the Credit Analysis and Research Limited (CARE) of India, the Global Credit Rating Company Limited (GCR) of South Africa, the Malaysian Rating Corporation Berhad (MARC) of Malaysia and the SR Rating Group of Brazil.ARC Rating was touted as an alternative to the ""Big Three"" global credit rating agencies."
klass2,AS Acquachiara (Associazione Sportiva Acquachiara) is an Italian water polo club based in Naples. The team competed in the Serie A1 and plays its games in Felice Scandone pool.
klass2,"AT&T Mexico also known as AT&T Unidos (Formerly Iusacell, SA de CV and Nextel Mexico) is a wireless operator Mexican company subsidiary of AT&T Inc., which is headquartered in Mexico City. AT&T Mexico has presence in 70% of Mexico, serving 8% of the Mexican wireless market at the end of 2014."
klass2,"A Twosome Place (Hangul: 투썸플레이스), is a coffeehouse chain based in South Korea and owned by the CJ Foodville of CJ Group. As of 2014, the coffee chain had over 500 retail stores in South Korea. Also, The first store in China was opened in 2011."
klass2,"Academy 360 (formerly Pennywell Comprehensive School) is a coeducational all-through school for pupils aged 4 to 16. The school is located in the Pennywell area of Sunderland, Tyne and Wear, England.Pennywell Comprehensive School was built in 1967, however in 2008 the school converted to academy status and was renamed Academy 360. In the same year the school relocated to a new building on the same site, with the old building being demolished. Academy is sponsored by Sunderland City Council, Sir Bob Murray and the Gentoo social housing group.Academy 360 offers GCSEs and BTECs as programmes of study for pupils. Most graduating students go on to attend Sunderland College which acts as the school’s partner further education provider. Academy 360 also operates 'The Achievement Centre' which offers alternative education for small numbers of pupils from across Sunderland."
