"s","o"
"http://dbpedia.org/resource/AK_47_Mayanja","AK 47, Akay 47, Ak Fortyseven birth name Emmanuel Mayanja was born on 19 June 1990 was a Ugandan Dance hall Music, he rose to fame in 2012 with his song ""Champion"". He is said to be one of the best dance hall musicians Uganda has ever had.He died on 16 March 2015 in a mysterious death."
"http://dbpedia.org/resource/A_Pass","Alexander Bagonza, better known by his stage name A Pass (and formerly APassKiller), is a Ugandan male musician and songwriter. He was born in Uganda on 21 December 1989. A Pass states that his stage name comes from Alexander his last name and Pass from his picky nickname Percy."
"http://dbpedia.org/resource/A_Pass","Alexander Bagonza, better known by his stage name A Pass (and formerly APassKiller), is a Ugandan male musician and songwriter. He was born in Uganda on 21 December 1989. A Pass states that his stage name comes from Alexander his last name and Pass from his picky nickname Percy."
"http://dbpedia.org/resource/Aalias","Aaron Kleinstub (born August 20, 1989), better known by his stage name Aalias, is an American music producer and musician from Cleveland, Ohio."
"http://dbpedia.org/resource/Aaron_Diehl","Aaron Diehl (born September 22, 1985, Columbus, Ohio) is an American jazz pianist.Diehl is considered a jazz virtuoso and composer. He is the 2014 Monterey Jazz Festival Commission Artist, becoming one of the youngest artists to receive this honor, and composed Three Streams of Expression, dedicated to pianist and composer John Lewis (pianist). He is the 2013 recipient of the Jazz Journalists Association Award for Up-And-Coming Artist, the 2012 Prix du Jazz Classique recipient for his album Live at the Players from the Académie du Jazz, and is the winner of the 2011 Cole Porter Fellowship from the American Pianists Association. Diehl's most recent album, Space, Time, Continuum features Benny Golson and Joe Temperley (June 2015, Mack Avenue Records)"
"http://dbpedia.org/resource/Aaron_Keyes","Aaron Robert Keyes (born September 8, 1978) is an American Christian musician. He released Not Guilty Anymore through Kingsway Records in 2007. His subsequent album, Dwell, was released by Kingsway Records in 2011. This album was his breakthrough release on the Billboard magazine Christian Albums chart."
"http://dbpedia.org/resource/Aaron_Peskin","Aaron Peskin (born 1964) is a former member of the San Francisco Board of Supervisors. He was first elected to the Board in 2000, and was re-elected in 2004. In January 2005, his colleagues elected him President of the Board. He also served as head of the San Francisco Democratic Party Central Committee from 2008 to 2012."
"http://dbpedia.org/resource/Aastha_Pokharel","Aastha Pokharel (Nepali: आस्था पोखरेल) is a Nepalese fashion model. She started her professional modeling career in the year 2011. The first big break Aastha was being featured on the cover and the editorial of Navyaata magazine cover in its March 2011 issue. Pokharel won Supermodel Nepal 2013 and placed 5th in the first season of Asia's Next Top Model held in Singapore. She is the contestant of Miss Nepal 2014 competition, where she placed Third Runner-up.  She has been nominated in the India Times Most Desirable Women in 2014. She has been crowned as the winner of NDTV Good Times Kingfisher Supermodels 2. She has been chosen to feature in the Kingfisher Calendar 2015."
"http://dbpedia.org/resource/Abigail_Budak","Abigaila Budac (born March 5, 1968), better known by her stage name Abigail Budak, is a Romanian-born pop music singer and songwriter from Sacramento, California. Abigail Budak has recently collaborated with Cristian Faur, a well known Romanian songwriter known for his success in the Eurovision Song Contest. Their collaboration included Abigail Budak's 2014 pop single ""Take Me Higher"". Abigail Budak has also collaborated with Raoul, a Romanian singer and songwriter, on the pop album ""Visul Meu"" (My Dream) released in 2014. Abigail Budak has also performed in concert with her close friend, Irina Loghin, a Romanian folk music superstar who has mentored and appeared on Romanian national television with Abigail numerous times during the release of her singles and album in 2014."
"http://dbpedia.org/resource/Abigail_Duhon","Abigail Cheramie Duhon (born April 20, 2000) is an American Christian musician and actress. She released a studio album, Right Now, with IShine Records and Infinity Music Group, in 2014. The album saw two of its singles, ""La La La"" and ""Praying for You"", place on the Billboard magazine Hot Singles Sales chart. Her subsequent release, an extended play, More Than Gold, was independently released, in 2015."
