algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:1; run:1; label:LOC; p:0.68889; r:0.40789; f1:0.51240; support:228 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:1; run:1; label:ORG; p:0.61364; r:0.31579; f1:0.41699; support:171 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:1; run:1; label:PER; p:0.53030; r:0.20710; f1:0.29787; support:169 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:1; run:2; label:LOC; p:0.62687; r:0.34855; f1:0.44800; support:241 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:1; run:2; label:ORG; p:0.68750; r:0.30726; f1:0.42471; support:179 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:1; run:2; label:PER; p:0.48387; r:0.19108; f1:0.27397; support:157 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:1; run:3; label:LOC; p:0.66923; r:0.37991; f1:0.48468; support:229 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:1; run:3; label:ORG; p:0.69892; r:0.28509; f1:0.40498; support:228 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:1; run:3; label:PER; p:0.52055; r:0.21111; f1:0.30040; support:180 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:1; run:4; label:LOC; p:0.67826; r:0.34211; f1:0.45481; support:228 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:1; run:4; label:ORG; p:0.55952; r:0.27485; f1:0.36863; support:171 
