cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2
True	1	1	LOC	0.69173	0.40351	0.50970	228	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	1	ORG	0.65060	0.31579	0.42520	171	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	1	PER	0.48438	0.18343	0.26609	169	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	2	LOC	0.66154	0.35685	0.46361	241	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	2	ORG	0.64474	0.27374	0.38431	179	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	2	PER	0.43333	0.16561	0.23963	157	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	3	LOC	0.63780	0.35371	0.45506	229	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	3	ORG	0.65306	0.28070	0.39264	228	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	3	PER	0.46053	0.19444	0.27344	180	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	4	LOC	0.66667	0.32456	0.43658	228	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	4	ORG	0.57317	0.27485	0.37154	171	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	4	PER	0.49206	0.19745	0.28182	157	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	5	LOC	0.63704	0.39631	0.48864	217	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	1	5	ORG	0.67073	0.28205	0.39711	195	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
