cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2	task
True	1	1	LOC	0.15385	0.09524	0.11765	21	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	1	ORG	0.00000	0.00000	0.00000	13	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	1	PER	0.30233	0.27083	0.28571	48	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	1	0	0.98095	0.98812	0.98452	3283	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	1	1	0.32759	0.23171	0.27143	82	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	1	LOC	0.33333	0.09524	0.14815	21	CRF_PA	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	1	ORG	0.00000	0.00000	0.00000	13	CRF_PA	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	1	PER	0.37838	0.29167	0.32941	48	CRF_PA	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	1	0	0.98103	0.99239	0.98667	3283	CRF_PA	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	1	1	0.43182	0.23171	0.30159	82	CRF_PA	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	2	LOC	0.20000	0.14286	0.16667	35	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	2	ORG	0.00000	0.00000	0.00000	13	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	2	PER	0.29545	0.25000	0.27083	52	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	2	0	0.97789	0.98621	0.98203	3408	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	2	1	0.33803	0.24000	0.28070	100	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	2	LOC	0.31579	0.17143	0.22222	35	CRF_PA	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	2	ORG	0.00000	0.00000	0.00000	13	CRF_PA	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	2	PER	0.33333	0.25000	0.28571	52	CRF_PA	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	2	0	0.97884	0.99090	0.98484	3408	CRF_PA	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	2	1	0.46552	0.27000	0.34177	100	CRF_PA	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	3	LOC	0.09091	0.14286	0.11111	14	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	3	ORG	0.00000	0.00000	0.00000	16	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	3	PER	0.25490	0.30233	0.27660	43	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	3	0	0.98394	0.98067	0.98230	3311	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	3	1	0.23810	0.27397	0.25478	73	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
