cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2	task
True	1	1	LOC	0.25000	0.02326	0.04255	43	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	1	ORG	0.00000	0.00000	0.00000	6	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	1	PER	0.58333	0.12281	0.20290	57	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	1	0	0.97094	0.99843	0.98449	3179	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	1	1	0.68750	0.10377	0.18033	106	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	2	LOC	0.20000	0.03125	0.05405	32	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	2	ORG	0.00000	0.00000	0.00000	8	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	2	PER	0.46667	0.12069	0.19178	58	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	2	0	0.97335	0.99718	0.98512	3187	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	2	1	0.55000	0.11224	0.18644	98	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	3	LOC	0.00000	0.00000	0.00000	28	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	3	ORG	0.00000	0.00000	0.00000	10	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	3	PER	0.66667	0.17241	0.27397	58	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	3	0	0.97459	0.99812	0.98621	3189	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	3	1	0.68421	0.13542	0.22609	96	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	4	LOC	0.00000	0.00000	0.00000	36	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	4	ORG	0.00000	0.00000	0.00000	11	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	4	PER	0.63636	0.22951	0.33735	61	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	4	0	0.97179	0.99748	0.98447	3177	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	4	1	0.66667	0.14815	0.24242	108	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	5	LOC	0.50000	0.04167	0.07692	24	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	5	ORG	0.00000	0.00000	0.00000	13	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	5	PER	0.53846	0.13208	0.21212	53	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	1	5	0	0.97583	0.99812	0.98685	3195	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	1	5	1	0.64706	0.12222	0.20561	90	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
False	1	1	LOC	0.36275	0.03333	0.06106	1110	DT	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	ORG	0.00000	0.00000	0.00000	906	DT	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	PER	0.32037	0.17744	0.22838	789	DT	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	0	0.96034	0.99665	0.97816	59737	DT	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NED
False	1	1	1	0.63370	0.12335	0.20651	2805	DT	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NED
False	1	1	LOC	0.17857	0.01524	0.02809	328	DT	2015.conll.freebase.horus	ner.txt.horus	NER
False	1	1	ORG	0.00000	0.00000	0.00000	205	DT	2015.conll.freebase.horus	ner.txt.horus	NER
False	1	1	PER	0.59559	0.12108	0.20124	669	DT	2015.conll.freebase.horus	ner.txt.horus	NER
False	1	1	0	0.97688	0.99887	0.98775	46057	DT	2015.conll.freebase.horus	ner.txt.horus	NED
False	1	1	1	0.68485	0.09401	0.16533	1202	DT	2015.conll.freebase.horus	ner.txt.horus	NED
False	1	1	LOC	0.12500	0.00410	0.00794	244	DT	2015.conll.freebase.horus	emerging.test.annotated.horus	NER
False	1	1	ORG	0.00000	0.00000	0.00000	87	DT	2015.conll.freebase.horus	emerging.test.annotated.horus	NER
False	1	1	PER	0.61644	0.08021	0.14196	561	DT	2015.conll.freebase.horus	emerging.test.annotated.horus	NER
False	1	1	0	0.96448	0.99920	0.98153	22525	DT	2015.conll.freebase.horus	emerging.test.annotated.horus	NED
False	1	1	1	0.77778	0.07063	0.12950	892	DT	2015.conll.freebase.horus	emerging.test.annotated.horus	NED
False	1	1	LOC	0.33333	0.13924	0.19643	158	DT	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NER
False	1	1	ORG	0.07143	0.04082	0.05195	49	DT	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NER
False	1	1	PER	0.56667	0.18889	0.28333	270	DT	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NER
False	1	1	0	0.97660	0.99454	0.98549	15946	DT	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NED
False	1	1	1	0.52717	0.20335	0.29349	477	DT	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NED
True	1	1	LOC	0.64286	0.39474	0.48913	228	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	1	ORG	0.56122	0.32164	0.40892	171	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	1	PER	0.59016	0.21302	0.31304	169	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	1	0	0.96994	0.99179	0.98075	11941	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	1	1	0.67224	0.35387	0.46367	568	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	2	LOC	0.66406	0.35270	0.46070	241	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	2	ORG	0.66234	0.28492	0.39844	179	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	2	PER	0.46269	0.19745	0.27679	157	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	2	0	0.96878	0.99355	0.98101	11932	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	2	1	0.71691	0.33795	0.45936	577	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	3	LOC	0.66393	0.35371	0.46154	229	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	3	ORG	0.67033	0.26754	0.38245	228	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	3	PER	0.43836	0.17778	0.25296	180	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	3	0	0.96474	0.99326	0.97879	11872	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	3	1	0.72028	0.32339	0.44637	637	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	4	LOC	0.68142	0.33772	0.45161	228	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	4	ORG	0.55952	0.27485	0.36863	171	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	4	PER	0.46269	0.19745	0.27679	157	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
