"s","o"
"http://dbpedia.org/resource/Acanceh_Municipality","Acanceh Municipality (In the Yucatec Maya Language: “Where the deer moans”) is one of the 106 municipalities in the Mexican state of Yucatán containing  (153.29 km2) of land and located roughly 32 km southeast of the city of Mérida."
"http://dbpedia.org/resource/Afadzato_South_District","The Afadzato South District or Afadzato Anyigbe District is one of the 25 districts in the Volta Region of Ghana. Its capital and administrative centre is Ve Golokwati."
"http://dbpedia.org/resource/Agios_Mamas,_Chalkidiki","Agios Mamas (Greek: ΄Αγιος Μάμας [ˈaʝios ˈmamas]) is a village in the Chalkidiki peninsula in northern Greece. It belongs to the Municipality of Nea Propontida  and in particular to the municipal unit of Moudania."
"http://dbpedia.org/resource/Agios_Panteleimonas,_Athens","Agios Panteleimonas or Aghios Panteleimonas (Greek: Άγιος Παντελεήμονας) is a neighbourhood of Athens, located northwest of the centre of Athens between Viktorias Square and Attikis Square. The main street of the district is Acharnon Avenue. The neighbourhood's name is owed in the big church of Agios Panteleimonas (Saint Pantaleon), built in this area during the interwar period."
"http://dbpedia.org/resource/Akamine_Station","Akamine Station (赤嶺駅, Akamine-eki) is a railway station on the Okinawa Monorail in Naha, Okinawa Prefecture, Japan."
"http://dbpedia.org/resource/All_Saints'_Church,_North_Street,_York","All Saints’ Church, North Street, York is a Grade I listed parish church in the Church of England in York."
"http://dbpedia.org/resource/All_Saints'_Church,_Ripley","All Saints’ Church, Ripley is a Grade II listed parish church in the Church of England in Ripley, Derbyshire."
"http://dbpedia.org/resource/All_Saints'_Church,_Small_Heath_(II)","All Saints’ Church, Small Heath is a Grade II* listed parish church in the Church of England in Birmingham, which until 1998 was known as St Aidan’s Church, Small Heath."
"http://dbpedia.org/resource/All_Saints'_Hampton","All Saints' Hampton is an Anglican church on The Avenue in Hampton in the London Borough of Richmond upon Thames. It has been a parish church since 1929. Its vicar is Gareth Wardell."
"http://dbpedia.org/resource/All_Souls,_St_Margarets","All Souls, St Margarets is a Church of England church on Northcote Road in St Margarets in the London Borough of Richmond upon Thames. Its vicar is Richard Frank. Services are held on Sundays at 10:30am and 4:30pm.  Communion followed by lunch is held on the first Monday of the month at 12 noon. The style of worship is Open Evangelical."
"http://dbpedia.org/resource/Allentown_NJ_Public_Library","The Allentown Public Library in Allentown, New Jersey, established over a hundred years ago, was one of the first public libraries in the state. It is a full service public library, a branch of the Monmouth County Library System. The library is open six days and two nights a week."
"http://dbpedia.org/resource/Alquerubim","Alquerubim is a civil parish in the municipality of Albergaria-a-Velha, Portugal. The population in 2011 was 2,381."
"http://dbpedia.org/resource/Altstadt,_Hamburg","Altstadt (German pronunciation: [altʃtat], literally: ""Old town""), more precisely Hamburg-Altstadt – as not to be mistaken with Hamburg-Altona-Altstadt – is one of the inner-city districts of the Free and Hanseatic City of Hamburg, Germany."
"http://dbpedia.org/resource/Alumpeedika","Alumpeedika is a small village/hamlet of Oachira in the Kollam district of Kerala, India. It comes under Clappana Panchayath and belongs to South Kerala division. It is located 31 km North of the district headquarters, Kollam, 1 km from Oachira, and 101 km from the state capital, Thiruvananthapuram. Nearby towns include Kayamkulam, Oachira, and Karunagappalli. Alumpeedika is near the border of the Kollam and Alappuzha districts. It is near to Arabian Sea."
"http://dbpedia.org/resource/Amruka","Amruka (Urdu:   امروکا  ‎) is a town in Minchinabad tehsil, Bahawalnagar district of Punjab province of the Pakistan.   It is located near Pakistan-India border."
"http://dbpedia.org/resource/Anda,_Chhattisgarh","Template:Arvind Kumar PrajapatiAnda is a village located in Durg Tehsil of Durg district in the Indian state of Chhattisgarh. The village population is estimated to be at 4,169.As the constitution of India and Panchyati Raaj Act, Anda village is administrated by a Sarpanch (Head of Village) who is elected representative of the village."
"http://dbpedia.org/resource/Ang_Mo_Kio_-_Thye_Hua_Kwan_Hospital","Ang Mo Kio – Thye Hua Kwan Hospital is a 360-bed community hospital located in Ang Mo Kio, Singapore. The hospital, which was officially opened in 1993, has been managed by THK, a VWO / Charitable Organisation, since 2002. As a community hospital, care is primarily focused on providing affordable rehabilitative and intermediate care for geriatric patients."
"http://dbpedia.org/resource/Animbiigoo_Zaagi'igan_Anishinaabek_First_Nation","Animbiigoo Zaagi'igan Anishinaabek First Nation is an Ojibwe First Nation in northwestern Ontario. It has a reserve on Partridge Lake called Lake Nipigon Indian Reserve within the town of Greenstone."
"http://dbpedia.org/resource/Ankutia","Ankutia (Bengali: আনকুটিয়া) is an  Villege of Chatmohar of Pabna District in the Division of Rajshahi, Bangladesh."
"http://dbpedia.org/resource/Archsum","Archsum (Frisian: Arichsem) is a village on the North Sea island of Sylt in the district of Nordfriesland in Schleswig-Holstein, Germany. Today, it is an Ortsteil of the Gemeinde Sylt."
"http://dbpedia.org/resource/Attawapiskat_91,_Ontario","Attawapiskat 91 is a First Nations reserve in Kenora District, northwestern Ontario. It was the main reserve of the Attawapiskat First Nation, but most have moved to the new reserve at Attawapiskat 91A."
"http://dbpedia.org/resource/Aundeck_Omni_Kaning_First_Nation","Aundeck Omni Kaning First Nation is an Ojibway First Nation on Manitoulin Island, with their reserve at Sucker Creek 23. The First Nation is a member of the United Chiefs and Councils of Manitoulin and the Union of Ontario Indians. They were formerly known as the Ojibways of Sucker Creek."
"http://dbpedia.org/resource/Baca_Municipality","Baca Municipality (In the Yucatec Maya Language: “water in the shape of a horn”) is one of the 106 municipalities in the Mexican state of Yucatán containing  (118.78 km2) of land and located roughly 32 km east of the city of Mérida."
"http://dbpedia.org/resource/Bacolod_Evangelical_Church","The Bacolod Evangelical Church (BEC) is one of the oldest Protestant/Evangelical Christian church in the Philippines located at Corner Rosario – San Juan Streets Bacolod City, The church was established in 1902."
