IS_NAMED_ENTITY	ID_SENT	ID_WORD	TOKEN	POS_UNI	POS	NER	COMPOUND	COMPOUND_SIZE	ID_TERM_TXT	ID_TERM_IMG	TOT_IMG	TOT_CV_LOC	TOT_CV_ORG	TOT_CV_PER	DIST_CV_I	PL_CV_I	NR_RESULTS_SE_IMG	KLASS_PREDICT_CV	TOT_RESULTS_TX	TOT_TX_LOC	TOT_TX_ORG	TOT_TX_PER	TOT_ERR_TRANS	DIST_TX_I	NR_RESULTS_SE_TX	KLASS_PREDICT_TX	FEATURE_EXTRA_1	FEATURE_EXTRA_2	FEATURE_EXTRA_3	FEATURE_EXTRA_4	FEATURE_EXTRA_5	FEATURE_EXTRA_6	FEATURE_EXTRA_7	FEATURE_EXTRA_8	FEATURE_EXTRA_9	KLASS_1	KLASS_2	KLASS_3	KLASS_4	KLASS_5	KLASS_6	KLASS_7	KLASS_8	KLASS_9	KLASS_10	KLASS_11	KLASS_12	KLASS_13	KLASS_14	KLASS_15	KLASS_REAL
0	1	17	Empire State Building			O	1	3	18414	18415	10	6	1	0	5	6	19	LOC	10	0	10	40	0	30	10	PER	0	3.3601726069800004	3.9085709199013297e-06	0.0	3.3601686984090806	0	0	5	5	-74	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	24	bad storm			O	1	2	18416	18417	10	8	0	0	8	46	19	LOC	10	0	10	40	0	30	10	PER	0	4.5039180061999993	3.4437079649794028e-08	0.0	4.5039179717629194	0	1	4	3	-42	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	27	last evening			O	1	2	18418	53049	0	0	0	0	0	0	0	O	10	0	10	40	0	30	10	PER	0	7.0537301989000003	2.9622415008080228e-06	0.0	7.0537272366584993	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	1	@paulwalk	USR	USR	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	2	It	PRON	PRP	O	0	0	2559	2560	10	3	4	1	1	-28	10	ORG	10	0	10	40	0	30	10	PER	10	4.8300946959999997	0.1223407939570155	0.0	4.7077539020429846	1	1	3	2	-42	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	3	'	''	''	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	13	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	4	s	PROPN	NNP	O	0	0	2543	2544	10	1	7	0	6	-56	10	ORG	10	0	10	40	0	30	10	PER	15	4.9919177614999999	1.4421274988303234	0.0	3.5497902626696765	0	4	1	3	-52	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	5	the	DET	DT	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	17	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	6	view	NOUN	NN	O	0	0	37693	37694	0	0	0	0	0	0	0	O	10	0	10	40	0	30	10	PER	21	6.6163631340000011	0.051787280475462376	0.0	6.5645758535245387	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	7	from	ADP	IN	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	26	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	8	where	ADV	WRB	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	31	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	9	I	PRON	PRP	O	0	0	17254	17255	10	2	2	0	0	-50	10	LOC	10	0	10	40	0	30	10	PER	37	8.8588140000000006	2.7323392846698106e-06	0.0	8.858811267660716	0	0	6	6	-60	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	10	'	''	''	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	39	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	11	m	INTJ	UH	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	41	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	12	living	VERB	VBG	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	43	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	13	for	ADP	IN	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	50	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	14	two	NUM	CD	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	54	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	15	weeks	NOUN	NNS	O	0	0	14824	14825	10	6	2	3	3	4	10	LOC	10	0	10	40	0	30	10	PER	58	5.9699327579999997	6.512339346489079e-06	0.0	5.9699262456606528	0	0	1	1	-50	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	16	.	PUNCT	.	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	64	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	17	Empire	PROPN	NNP	O	0	0	2297	2298	10	4	0	11	7	10	10	PER	10	0	10	40	0	30	10	PER	66	5.7772557510000002	7.4673579555234192e-08	0.0	5.7772556763264209	0	1	4	3	-60	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	18	State	NOUN	NN	O	0	0	47519	47520	0	0	0	0	0	0	0	O	9	0	9	36	0	27	9	PER	73	1.0240520987999999	2.6752285248641805e-08	0.0	1.0240520720477146	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	19	Building	NOUN	NN	O	0	0	47674	47675	10	5	0	0	5	10	20	LOC	9	0	9	36	0	27	9	PER	79	2.91224897695	0.00056845971537446182	0.0	2.9116805172346254	0	0	8	8	-66	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	20	=	INTJ	UH	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	88	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
