"IS_NAMED_ENTITY","ID_SENT","ID_WORD","TOKEN","POS_UNI","POS","NER","COMPOUND","COMPOUND_SIZE","ID_TERM_TXT","ID_TERM_IMG","TOT_IMG","TOT_CV_LOC","TOT_CV_ORG","TOT_CV_PER","DIST_CV_I","PL_CV_I","NR_RESULTS_SE_IMG","KLASS_PREDICT_CV","TOT_RESULTS_TX","TOT_TX_LOC","TOT_TX_ORG","TOT_TX_PER","TOT_ERR_TRANS","DIST_TX_I","NR_RESULTS_SE_TX","KLASS_PREDICT_TX","FEATURE_EXTRA_1","FEATURE_EXTRA_2","FEATURE_EXTRA_3","FEATURE_EXTRA_4","FEATURE_EXTRA_5","FEATURE_EXTRA_6","FEATURE_EXTRA_7","FEATURE_EXTRA_8","FEATURE_EXTRA_9","KLASS_1","KLASS_2","KLASS_3","KLASS_4","KLASS_5","KLASS_6","KLASS_7","KLASS_8","KLASS_9","KLASS_10","KLASS_11","KLASS_12","KLASS_13","KLASS_14","KLASS_15","KLASS_REAL"
"-1","1","1","Driving","VERB","VBG","O","0","0","0","0","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","0","0","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O"
"-1","1","2",",","PUNCT",",","O","0","0","0","0","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","0","0","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O"
"-1","1","3","driving","VERB","VBG","O","0","0","0","0","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","0","0","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O"
"-1","1","4",",","PUNCT",",","O","0","0","0","0","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","0","0","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O"
"-1","1","5","driving","VERB","VBG","O","0","0","0","0","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","0","0","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O"
"-1","1","6","away","ADV","RB","O","0","0","0","0","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","0","0","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O"
"-1","1","7","to","PART","TO","O","0","0","0","0","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","0","0","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O"
"-1","1","8","Phil","PROPN","NNP","O","0","0","1313","1314","10","0","1","9","8","-46","10","PER","10","10","10","30","0.0","20","10","PER","0","0","0","0","0","0","0","0","0","PER","PER","PER","PER","O","O","O","O","O","O","O","O","O","O","O","O"
"-1","1","9",".","PUNCT",".","O","0","0","0","0","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","0","0","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O"
"0","2","1","Tasty dinner tonight","","","O","1","3","21402","21403","0","0","0","0","0","0","0","O","10","0","23","27","0.0","4","10","PER","0","0","0","0","0","0","0","0","0","PER","PER","PER","PER","O","O","O","O","O","O","O","O","O","O","O","O"
"0","2","8","Mining and Metallurgy Engineers","","","O","1","4","21404","21405","0","0","0","0","0","0","0","O","10","5","23","22","0.0","1","10","ORG","0","0","0","0","0","0","0","0","0","ORG","O","O","ORG","O","O","O","O","O","O","O","O","O","O","O","O"
"-1","2","1","Tasty","ADJ","JJ","O","0","0","0","0","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","0","0","O","O","O","PER","O","O","O","O","O","O","O","O","O","O","O","O"
"-1","2","2","dinner","NOUN","NN","O","0","0","4062","4063","10","3","0","0","3","-12","10","LOC","10","2","26","22","0.0","4","10","ORG","0","0","0","0","0","0","0","0","0","LOC","LOC","LOC","PER","O","O","O","O","O","O","O","O","O","O","O","O"
"-1","2","3","tonight","NOUN","NN","O","0","0","2891","2892","10","6","3","3","3","16","10","LOC","10","4","16","30","0.0","14","10","PER","0","0","0","0","0","0","0","0","0","LOC","LOC","LOC","PER","O","O","O","O","O","O","O","O","O","O","O","O"
"-1","2","4","with","ADP","IN","O","0","0","0","0","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","O","0","0","0","0","0","0","0","0","0","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O"
