cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2	task
True	1	1	LOC	0.67742	0.36842	0.47727	57	CRF	ritter.train	ritter.train	NER
True	1	1	ORG	0.93750	0.32609	0.48387	46	CRF	ritter.train	ritter.train	NER
True	1	1	PER	0.69620	0.45455	0.55000	121	CRF	ritter.train	ritter.train	NER
True	1	1	average	0.74098	0.40625	0.51791	0	CRF	ritter.train	ritter.train	NER
True	1	1	0	0.98649	0.99672	0.99158	9447	CRF	ritter.train	ritter.train	NED
True	1	1	1	0.75397	0.42411	0.54286	224	CRF	ritter.train	ritter.train	NED
True	1	1	LOC	0.58333	0.36842	0.45161	57	CRF_PA	ritter.train	ritter.train	NER
True	1	1	ORG	0.87500	0.30435	0.45161	46	CRF_PA	ritter.train	ritter.train	NER
True	1	1	PER	0.66279	0.47107	0.55072	121	CRF_PA	ritter.train	ritter.train	NER
True	1	1	average	0.68615	0.41071	0.50515	0	CRF_PA	ritter.train	ritter.train	NER
True	1	1	0	0.98699	0.99598	0.99146	9447	CRF_PA	ritter.train	ritter.train	NED
True	1	1	1	0.72464	0.44643	0.55249	224	CRF_PA	ritter.train	ritter.train	NED
True	1	2	LOC	0.58696	0.42857	0.49541	63	CRF	ritter.train	ritter.train	NER
True	1	2	ORG	0.91667	0.44000	0.59459	25	CRF	ritter.train	ritter.train	NER
True	1	2	PER	0.76577	0.55195	0.64151	154	CRF	ritter.train	ritter.train	NER
True	1	2	average	0.73481	0.50826	0.59863	0	CRF	ritter.train	ritter.train	NER
True	1	2	0	0.98828	0.99610	0.99217	9225	CRF	ritter.train	ritter.train	NED
True	1	2	1	0.78698	0.54959	0.64720	242	CRF	ritter.train	ritter.train	NED
True	1	2	LOC	0.54762	0.36508	0.43810	63	CRF_PA	ritter.train	ritter.train	NER
True	1	2	ORG	0.81818	0.36000	0.50000	25	CRF_PA	ritter.train	ritter.train	NER
True	1	2	PER	0.78070	0.57792	0.66418	154	CRF_PA	ritter.train	ritter.train	NER
True	1	2	average	0.72390	0.50000	0.58836	0	CRF_PA	ritter.train	ritter.train	NER
True	1	2	0	0.98839	0.99642	0.99239	9225	CRF_PA	ritter.train	ritter.train	NED
True	1	2	1	0.80240	0.55372	0.65526	242	CRF_PA	ritter.train	ritter.train	NED
True	1	3	LOC	0.61765	0.34426	0.44211	61	CRF	ritter.train	ritter.train	NER
True	1	3	ORG	0.94737	0.46154	0.62069	39	CRF	ritter.train	ritter.train	NER
True	1	3	PER	0.79747	0.52066	0.63000	121	CRF	ritter.train	ritter.train	NER
True	1	3	average	0.77429	0.46154	0.57649	0	CRF	ritter.train	ritter.train	NER
True	1	3	0	0.98815	0.99772	0.99291	9197	CRF	ritter.train	ritter.train	NED
True	1	3	1	0.84091	0.50226	0.62890	221	CRF	ritter.train	ritter.train	NED
True	1	3	LOC	0.67568	0.40984	0.51020	61	CRF_PA	ritter.train	ritter.train	NER
True	1	3	ORG	0.94444	0.43590	0.59649	39	CRF_PA	ritter.train	ritter.train	NER
True	1	3	PER	0.72093	0.51240	0.59903	121	CRF_PA	ritter.train	ritter.train	NER
True	1	3	average	0.74788	0.47059	0.57407	0	CRF_PA	ritter.train	ritter.train	NER
True	1	3	0	0.98857	0.99717	0.99285	9197	CRF_PA	ritter.train	ritter.train	NED
True	1	3	1	0.81560	0.52036	0.63536	221	CRF_PA	ritter.train	ritter.train	NED
False	1	1	LOC	0.64474	0.31013	0.41880	158	CRF	ritter.train	wnut15.dev	NER
False	1	1	ORG	0.50000	0.16327	0.24615	49	CRF	ritter.train	wnut15.dev	NER
False	1	1	PER	0.56213	0.34799	0.42986	273	CRF	ritter.train	wnut15.dev	NER
False	1	0	average	0.58298	0.31667	0.40747	0	CRF	ritter.train	wnut15.dev	NER
False	1	1	0	0.98100	0.99448	0.98770	15943	CRF	ritter.train	wnut15.dev	NED
False	1	1	1	0.66284	0.36042	0.46694	480	CRF	ritter.train	wnut15.dev	NED
False	1	1	LOC	0.59722	0.27215	0.37391	158	CRF_PA	ritter.train	wnut15.dev	NER
False	1	1	ORG	0.58333	0.14286	0.22951	49	CRF_PA	ritter.train	wnut15.dev	NER
False	1	1	PER	0.48780	0.43956	0.46243	273	CRF_PA	ritter.train	wnut15.dev	NER
False	1	0	average	0.53357	0.35417	0.40951	0	CRF-PA	ritter.train	wnut15.dev	NER
False	1	1	0	0.98241	0.99166	0.98701	15943	CRF_PA	ritter.train	wnut15.dev	NED
False	1	1	1	0.59697	0.41042	0.48642	480	CRF_PA	ritter.train	wnut15.dev	NED
False	1	1	LOC	0.75369	0.41351	0.53403	1110	CRF	ritter.train	wnut16.test	NER
False	1	1	ORG	0.50314	0.08811	0.14995	908	CRF	ritter.train	wnut16.test	NER
False	1	1	PER	0.45674	0.40811	0.43106	789	CRF	ritter.train	wnut16.test	NER
False	1	0	average	0.58918	0.30673	0.38085	0	CRF	ritter.train	wnut16.test	NER
False	1	1	0	0.97047	0.99212	0.98118	59800	CRF	ritter.train	wnut16.test	NED
False	1	1	1	0.68024	0.35696	0.46822	2807	CRF	ritter.train	wnut16.test	NED
False	1	1	LOC	0.71717	0.38378	0.50000	1110	CRF_PA	ritter.train	wnut16.test	NER
False	1	1	ORG	0.63964	0.07819	0.13935	908	CRF_PA	ritter.train	wnut16.test	NER
False	1	1	PER	0.37758	0.48669	0.42525	789	CRF_PA	ritter.train	wnut16.test	NER
False	1	0	average	0.59664	0.31386	0.36233	0	CRF-PA	ritter.train	wnut16.test	NER
False	1	1	0	0.97249	0.99013	0.98123	59800	CRF_PA	ritter.train	wnut16.test	NED
False	1	1	1	0.65738	0.40328	0.49989	2807	CRF_PA	ritter.train	wnut16.test	NED
False	1	1	LOC	0.62500	0.10246	0.17606	244	CRF	ritter.train	wnut17.test	NER
False	1	1	ORG	0.00000	0.00000	0.00000	88	CRF	ritter.train	wnut17.test	NER
False	1	1	PER	0.66471	0.20215	0.31001	559	CRF	ritter.train	wnut17.test	NER
False	1	0	average	0.58818	0.15488	0.24271	0	CRF	ritter.train	wnut17.test	NER
False	1	1	0	0.96826	0.99756	0.98269	22508	CRF	ritter.train	wnut17.test	NED
False	1	1	1	0.73810	0.17396	0.28156	891	CRF	ritter.train	wnut17.test	NED
False	1	1	LOC	0.38596	0.09016	0.14618	244	CRF_PA	ritter.train	wnut17.test	NER
False	1	1	ORG	0.00000	0.00000	0.00000	88	CRF_PA	ritter.train	wnut17.test	NER
False	1	1	PER	0.66497	0.23435	0.34656	559	CRF_PA	ritter.train	wnut17.test	NER
False	1	0	average	0.52289	0.17172	0.25746	0	CRF-PA	ritter.train	wnut17.test	NER
False	1	1	0	0.96958	0.99698	0.98309	22508	CRF_PA	ritter.train	wnut17.test	NED
False	1	1	1	0.73333	0.20988	0.32635	891	CRF_PA	ritter.train	wnut17.test	NED
True	1	1	LOC	0.68000	0.21519	0.32692	79	CRF	wnut15.train	wnut15.train	NER
True	1	1	ORG	0.95238	0.45455	0.61538	44	CRF	wnut15.train	wnut15.train	NER
True	1	1	PER	0.75824	0.56557	0.64789	122	CRF	wnut15.train	wnut15.train	NER
True	1	1	average	0.76788	0.43265	0.53856	0	CRF	wnut15.train	wnut15.train	NER
True	1	1	0	0.98608	0.99762	0.99181	9229	CRF	wnut15.train	wnut15.train	NED
True	1	1	1	0.83942	0.46939	0.60209	245	CRF	wnut15.train	wnut15.train	NED
True	1	1	LOC	0.60714	0.21519	0.31776	79	CRF_PA	wnut15.train	wnut15.train	NER
True	1	1	ORG	1.00000	0.43182	0.60317	44	CRF_PA	wnut15.train	wnut15.train	NER
True	1	1	PER	0.66071	0.60656	0.63248	122	CRF_PA	wnut15.train	wnut15.train	NER
True	1	1	average	0.70437	0.44898	0.52573	0	CRF_PA	wnut15.train	wnut15.train	NER
True	1	1	0	0.98647	0.99567	0.99105	9229	CRF_PA	wnut15.train	wnut15.train	NED
True	1	1	1	0.74843	0.48571	0.58911	245	CRF_PA	wnut15.train	wnut15.train	NED
True	1	2	LOC	0.65517	0.26761	0.38000	71	CRF	wnut15.train	wnut15.train	NER
True	1	2	ORG	0.73333	0.35484	0.47826	31	CRF	wnut15.train	wnut15.train	NER
True	1	2	PER	0.79121	0.45283	0.57600	159	CRF	wnut15.train	wnut15.train	NER
True	1	2	average	0.74733	0.39080	0.51107	0	CRF	wnut15.train	wnut15.train	NER
True	1	2	0	0.98404	0.99741	0.99068	9270	CRF	wnut15.train	wnut15.train	NED
True	1	2	1	0.82222	0.42529	0.56061	261	CRF	wnut15.train	wnut15.train	NED
True	1	2	LOC	0.60714	0.23944	0.34343	71	CRF_PA	wnut15.train	wnut15.train	NER
True	1	2	ORG	0.73333	0.35484	0.47826	31	CRF_PA	wnut15.train	wnut15.train	NER
True	1	2	PER	0.74775	0.52201	0.61481	159	CRF_PA	wnut15.train	wnut15.train	NER
True	1	2	average	0.70779	0.42529	0.52477	0	CRF_PA	wnut15.train	wnut15.train	NER
True	1	2	0	0.98528	0.99666	0.99094	9270	CRF_PA	wnut15.train	wnut15.train	NED
True	1	2	1	0.79870	0.47126	0.59277	261	CRF_PA	wnut15.train	wnut15.train	NED
True	1	3	LOC	0.59375	0.30159	0.40000	63	CRF	wnut15.train	wnut15.train	NER
True	1	3	ORG	0.93333	0.34146	0.50000	41	CRF	wnut15.train	wnut15.train	NER
True	1	3	PER	0.77528	0.57983	0.66346	119	CRF	wnut15.train	wnut15.train	NER
True	1	3	average	0.75306	0.45740	0.55898	0	CRF	wnut15.train	wnut15.train	NER
True	1	3	0	0.98793	0.99737	0.99263	9113	CRF	wnut15.train	wnut15.train	NED
True	1	3	1	0.82353	0.50224	0.62396	223	CRF	wnut15.train	wnut15.train	NED
True	1	3	LOC	0.54545	0.28571	0.37500	63	CRF_PA	wnut15.train	wnut15.train	NER
True	1	3	ORG	1.00000	0.34146	0.50909	41	CRF_PA	wnut15.train	wnut15.train	NER
True	1	3	PER	0.61947	0.58824	0.60345	119	CRF_PA	wnut15.train	wnut15.train	NER
True	1	3	average	0.66852	0.45740	0.52156	0	CRF_PA	wnut15.train	wnut15.train	NER
True	1	3	0	0.98834	0.99517	0.99174	9113	CRF_PA	wnut15.train	wnut15.train	NED
True	1	3	1	0.72500	0.52018	0.60574	223	CRF_PA	wnut15.train	wnut15.train	NED
False	1	1	LOC	0.60976	0.31646	0.41667	158	CRF	wnut15.train	wnut15.dev	NER
False	1	1	ORG	0.50000	0.16327	0.24615	49	CRF	wnut15.train	wnut15.dev	NER
False	1	1	PER	0.56805	0.35165	0.43439	273	CRF	wnut15.train	wnut15.dev	NER
False	1	0	average	0.57483	0.32083	0.40934	0	CRF	wnut15.train	wnut15.dev	NER
False	1	1	0	0.98112	0.99423	0.98763	15943	CRF	wnut15.train	wnut15.dev	NED
False	1	1	1	0.65543	0.36458	0.46854	480	CRF	wnut15.train	wnut15.dev	NED
False	1	1	LOC	0.59420	0.25949	0.36123	158	CRF_PA	wnut15.train	wnut15.dev	NER
False	1	1	ORG	0.53846	0.14286	0.22581	49	CRF_PA	wnut15.train	wnut15.dev	NER
False	1	1	PER	0.48583	0.43956	0.46154	273	CRF_PA	wnut15.train	wnut15.dev	NER
False	1	0	average	0.52688	0.35000	0.40446	0	CRF-PA	wnut15.train	wnut15.dev	NER
False	1	1	0	0.98217	0.99147	0.98680	15943	CRF_PA	wnut15.train	wnut15.dev	NED
False	1	1	1	0.58663	0.40208	0.47713	480	CRF_PA	wnut15.train	wnut15.dev	NED
False	1	1	LOC	0.73003	0.41171	0.52650	1110	CRF	wnut15.train	wnut16.test	NER
False	1	1	ORG	0.64122	0.09251	0.16169	908	CRF	wnut15.train	wnut16.test	NER
False	1	1	PER	0.44134	0.40051	0.41993	789	CRF	wnut15.train	wnut16.test	NER
False	1	0	average	0.62016	0.30531	0.37854	0	CRF	wnut15.train	wnut16.test	NER
False	1	1	0	0.97070	0.99236	0.98141	59800	CRF	wnut15.train	wnut16.test	NED
False	1	1	1	0.68975	0.36195	0.47477	2807	CRF	wnut15.train	wnut16.test	NED
False	1	1	LOC	0.70669	0.37117	0.48671	1110	CRF_PA	wnut15.train	wnut16.test	NER
False	1	1	ORG	0.61538	0.07048	0.12648	908	CRF_PA	wnut15.train	wnut16.test	NER
False	1	1	PER	0.37754	0.49430	0.42810	789	CRF_PA	wnut15.train	wnut16.test	NER
False	1	0	average	0.58464	0.30851	0.35371	0	CRF-PA	wnut15.train	wnut16.test	NER
False	1	1	0	0.97236	0.99003	0.98112	59800	CRF_PA	wnut15.train	wnut16.test	NED
False	1	1	1	0.65349	0.40043	0.49658	2807	CRF_PA	wnut15.train	wnut16.test	NED
False	1	1	LOC	0.56000	0.11475	0.19048	244	CRF	wnut15.train	wnut17.test	NER
False	1	1	ORG	0.00000	0.00000	0.00000	88	CRF	wnut15.train	wnut17.test	NER
False	1	1	PER	0.72603	0.18962	0.30071	559	CRF	wnut15.train	wnut17.test	NER
False	1	0	average	0.60885	0.15039	0.24082	0	CRF	wnut15.train	wnut17.test	NER
False	1	1	0	0.96811	0.99800	0.98283	22508	CRF	wnut15.train	wnut17.test	NED
False	1	1	1	0.77041	0.16947	0.27783	891	CRF	wnut15.train	wnut17.test	NED
False	1	1	LOC	0.41071	0.09426	0.15333	244	CRF_PA	wnut15.train	wnut17.test	NER
False	1	1	ORG	0.00000	0.00000	0.00000	88	CRF_PA	wnut15.train	wnut17.test	NER
False	1	1	PER	0.64286	0.22540	0.33377	559	CRF_PA	wnut15.train	wnut17.test	NER
False	1	0	average	0.51579	0.16723	0.25140	0	CRF-PA	wnut15.train	wnut17.test	NER
False	1	1	0	0.96963	0.99711	0.98318	22508	CRF_PA	wnut15.train	wnut17.test	NED
False	1	1	1	0.74308	0.21100	0.32867	891	CRF_PA	wnut15.train	wnut17.test	NED
True	1	1	LOC	0.68000	0.21519	0.32692	79	CRF	wnut16.train	wnut16.train	NER
True	1	1	ORG	0.95238	0.45455	0.61538	44	CRF	wnut16.train	wnut16.train	NER
True	1	1	PER	0.75824	0.56557	0.64789	122	CRF	wnut16.train	wnut16.train	NER
True	1	1	average	0.76788	0.43265	0.53856	0	CRF	wnut16.train	wnut16.train	NER
True	1	1	0	0.98608	0.99762	0.99181	9229	CRF	wnut16.train	wnut16.train	NED
True	1	1	1	0.83942	0.46939	0.60209	245	CRF	wnut16.train	wnut16.train	NED
True	1	1	LOC	0.65385	0.21519	0.32381	79	CRF_PA	wnut16.train	wnut16.train	NER
True	1	1	ORG	0.95000	0.43182	0.59375	44	CRF_PA	wnut16.train	wnut16.train	NER
True	1	1	PER	0.64348	0.60656	0.62447	122	CRF_PA	wnut16.train	wnut16.train	NER
True	1	1	average	0.70187	0.44898	0.52201	0	CRF_PA	wnut16.train	wnut16.train	NER
True	1	1	0	0.98669	0.99567	0.99116	9229	CRF_PA	wnut16.train	wnut16.train	NED
True	1	1	1	0.75155	0.49388	0.59606	245	CRF_PA	wnut16.train	wnut16.train	NED
True	1	2	LOC	0.65517	0.26761	0.38000	71	CRF	wnut16.train	wnut16.train	NER
True	1	2	ORG	0.73333	0.35484	0.47826	31	CRF	wnut16.train	wnut16.train	NER
True	1	2	PER	0.79121	0.45283	0.57600	159	CRF	wnut16.train	wnut16.train	NER
True	1	2	average	0.74733	0.39080	0.51107	0	CRF	wnut16.train	wnut16.train	NER
True	1	2	0	0.98404	0.99741	0.99068	9270	CRF	wnut16.train	wnut16.train	NED
True	1	2	1	0.82222	0.42529	0.56061	261	CRF	wnut16.train	wnut16.train	NED
True	1	2	LOC	0.62500	0.28169	0.38835	71	CRF_PA	wnut16.train	wnut16.train	NER
True	1	2	ORG	0.73333	0.35484	0.47826	31	CRF_PA	wnut16.train	wnut16.train	NER
