cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2	task
True	1	1	LOC	0.40000	0.25882	0.31429	85	RF50	ritter.train	ritter.train	NER
True	1	1	ORG	0.55263	0.45652	0.50000	46	RF50	ritter.train	ritter.train	NER
True	1	1	PER	0.56296	0.56296	0.56296	135	RF50	ritter.train	ritter.train	NER
True	1	1	average	0.50910	0.44737	0.47261	0	RF50	ritter.train	ritter.train	NER
True	1	1	0	0.98677	0.99086	0.98881	9186	RF50	ritter.train	ritter.train	NED
True	1	1	1	0.63158	0.54135	0.58300	266	RF50	ritter.train	ritter.train	NED
True	1	1	LOC	0.39062	0.29412	0.33557	85	DT	ritter.train	ritter.train	NER
True	1	1	ORG	0.52083	0.54348	0.53191	46	DT	ritter.train	ritter.train	NER
True	1	1	PER	0.54861	0.58519	0.56631	135	DT	ritter.train	ritter.train	NER
True	1	1	average	0.49332	0.48496	0.48663	0	DT	ritter.train	ritter.train	NER
True	1	1	0	0.98815	0.98922	0.98868	9186	DT	ritter.train	ritter.train	NED
True	1	1	1	0.61328	0.59023	0.60153	266	DT	ritter.train	ritter.train	NED
True	1	2	LOC	0.34000	0.26154	0.29565	65	RF50	ritter.train	ritter.train	NER
True	1	2	ORG	0.42857	0.39474	0.41096	38	RF50	ritter.train	ritter.train	NER
True	1	2	PER	0.54545	0.57600	0.56031	125	RF50	ritter.train	ritter.train	NER
True	1	2	average	0.46740	0.45614	0.45997	0	RF50	ritter.train	ritter.train	NER
True	1	2	0	0.98960	0.99078	0.99019	9224	RF50	ritter.train	ritter.train	NED
True	1	2	1	0.60829	0.57895	0.59326	228	RF50	ritter.train	ritter.train	NED
True	1	2	LOC	0.34426	0.32308	0.33333	65	DT	ritter.train	ritter.train	NER
True	1	2	ORG	0.35556	0.42105	0.38554	38	DT	ritter.train	ritter.train	NER
True	1	2	PER	0.52174	0.57600	0.54753	125	DT	ritter.train	ritter.train	NER
True	1	2	average	0.44345	0.47807	0.45947	0	DT	ritter.train	ritter.train	NER
True	1	2	0	0.99044	0.98873	0.98958	9224	DT	ritter.train	ritter.train	NED
True	1	2	1	0.57377	0.61404	0.59322	228	DT	ritter.train	ritter.train	NED
True	1	3	LOC	0.32727	0.29508	0.31034	61	RF50	ritter.train	ritter.train	NER
True	1	3	ORG	0.55319	0.59091	0.57143	44	RF50	ritter.train	ritter.train	NER
True	1	3	PER	0.56522	0.53279	0.54852	122	RF50	ritter.train	ritter.train	NER
True	1	3	average	0.49895	0.48018	0.48896	0	RF50	ritter.train	ritter.train	NER
True	1	3	0	0.98928	0.99035	0.98982	9225	RF50	ritter.train	ritter.train	NED
True	1	3	1	0.58986	0.56388	0.57658	227	RF50	ritter.train	ritter.train	NED
True	1	3	LOC	0.29032	0.29508	0.29268	61	DT	ritter.train	ritter.train	NER
True	1	3	ORG	0.56250	0.61364	0.58696	44	DT	ritter.train	ritter.train	NER
True	1	3	PER	0.54545	0.54098	0.54321	122	DT	ritter.train	ritter.train	NER
True	1	3	average	0.48020	0.48899	0.48437	0	DT	ritter.train	ritter.train	NER
True	1	3	0	0.98970	0.98927	0.98948	9225	DT	ritter.train	ritter.train	NED
True	1	3	1	0.57143	0.58150	0.57642	227	DT	ritter.train	ritter.train	NED
False	1	1	LOC	0.23830	0.35443	0.28499	158	RF50	ritter.train	wnut15.dev	NER
False	1	1	ORG	0.12069	0.14286	0.13084	49	RF50	ritter.train	wnut15.dev	NER
False	1	1	PER	0.29310	0.37363	0.32850	273	RF50	ritter.train	wnut15.dev	NER
False	1	0	average	0.25746	0.34375	0.29400	0	RF50	ritter.train	wnut15.dev	NER
False	1	1	0	0.98373	0.97380	0.97874	15954	RF50	ritter.train	wnut15.dev	NED
False	1	1	1	0.34789	0.46458	0.39786	480	RF50	ritter.train	wnut15.dev	NED
False	1	1	LOC	0.23013	0.34810	0.27708	158	DT	ritter.train	wnut15.dev	NER
False	1	1	ORG	0.10526	0.16327	0.12800	49	DT	ritter.train	wnut15.dev	NER
False	1	1	PER	0.29201	0.38828	0.33333	273	DT	ritter.train	wnut15.dev	NER
False	1	0	average	0.25258	0.35208	0.29385	0	DT	ritter.train	wnut15.dev	NER
False	1	1	0	0.98394	0.97173	0.97780	15954	DT	ritter.train	wnut15.dev	NED
False	1	1	1	0.33481	0.47292	0.39206	480	DT	ritter.train	wnut15.dev	NED
False	1	1	LOC	0.37345	0.38018	0.37679	1110	RF50	ritter.train	wnut16.test	NER
False	1	1	ORG	0.29363	0.11674	0.16706	908	RF50	ritter.train	wnut16.test	NER
False	1	1	PER	0.23682	0.41572	0.30175	789	RF50	ritter.train	wnut16.test	NER
False	1	0	average	0.30923	0.30495	0.28785	0	RF50	ritter.train	wnut16.test	NER
False	1	1	0	0.97263	0.97151	0.97207	59813	RF50	ritter.train	wnut16.test	NED
False	1	1	1	0.40751	0.41753	0.41246	2807	RF50	ritter.train	wnut16.test	NED
False	1	1	LOC	0.36449	0.38649	0.37516	1110	DT	ritter.train	wnut16.test	NER
False	1	1	ORG	0.25783	0.11784	0.16175	908	DT	ritter.train	wnut16.test	NER
False	1	1	PER	0.23288	0.40938	0.29688	789	DT	ritter.train	wnut16.test	NER
False	1	0	average	0.29299	0.30602	0.28412	0	DT	ritter.train	wnut16.test	NER
False	1	1	0	0.97292	0.97012	0.97152	59813	DT	ritter.train	wnut16.test	NED
False	1	1	1	0.40013	0.42465	0.41203	2807	DT	ritter.train	wnut16.test	NED
False	1	1	LOC	0.16766	0.11475	0.13625	244	RF50	ritter.train	wnut17.test	NER
False	1	1	ORG	0.06579	0.05682	0.06098	88	RF50	ritter.train	wnut17.test	NER
False	1	1	PER	0.43059	0.27094	0.33260	561	RF50	ritter.train	wnut17.test	NER
False	1	0	average	0.32280	0.20717	0.25219	0	RF50	ritter.train	wnut17.test	NER
False	1	1	0	0.97371	0.98655	0.98009	22524	RF50	ritter.train	wnut17.test	NED
False	1	1	1	0.49161	0.32811	0.39355	893	RF50	ritter.train	wnut17.test	NED
False	1	1	LOC	0.13706	0.11066	0.12245	244	DT	ritter.train	wnut17.test	NER
False	1	1	ORG	0.03883	0.04545	0.04188	88	DT	ritter.train	wnut17.test	NER
False	1	1	PER	0.43182	0.27094	0.33297	561	DT	ritter.train	wnut17.test	NER
False	1	0	average	0.31255	0.20493	0.24676	0	DT	ritter.train	wnut17.test	NER
False	1	1	0	0.97408	0.98451	0.97927	22524	DT	ritter.train	wnut17.test	NED
False	1	1	1	0.46472	0.33931	0.39223	893	DT	ritter.train	wnut17.test	NED
True	1	1	LOC	0.45161	0.37333	0.40876	75	RF50	wnut15.train	wnut15.train	NER
True	1	1	ORG	0.54286	0.47500	0.50667	40	RF50	wnut15.train	wnut15.train	NER
True	1	1	PER	0.47967	0.43066	0.45385	137	RF50	wnut15.train	wnut15.train	NER
True	1	1	average	0.48135	0.42063	0.44881	0	RF50	wnut15.train	wnut15.train	NER
True	1	1	0	0.98701	0.99044	0.98872	9203	RF50	wnut15.train	wnut15.train	NED
True	1	1	1	0.60000	0.52381	0.55932	252	RF50	wnut15.train	wnut15.train	NED
True	1	1	LOC	0.44928	0.41333	0.43056	75	DT	wnut15.train	wnut15.train	NER
True	1	1	ORG	0.50000	0.50000	0.50000	40	DT	wnut15.train	wnut15.train	NER
True	1	1	PER	0.48438	0.45255	0.46792	137	DT	wnut15.train	wnut15.train	NER
True	1	1	average	0.47641	0.44841	0.46189	0	DT	wnut15.train	wnut15.train	NER
True	1	1	0	0.98763	0.98924	0.98844	9203	DT	wnut15.train	wnut15.train	NED
True	1	1	1	0.58228	0.54762	0.56442	252	DT	wnut15.train	wnut15.train	NED
True	1	2	LOC	0.25926	0.24138	0.25000	58	RF50	wnut15.train	wnut15.train	NER
True	1	2	ORG	0.31429	0.30556	0.30986	36	RF50	wnut15.train	wnut15.train	NER
True	1	2	PER	0.52980	0.59259	0.55944	135	RF50	wnut15.train	wnut15.train	NER
True	1	2	average	0.42740	0.45852	0.44183	0	RF50	wnut15.train	wnut15.train	NER
True	1	2	0	0.98969	0.98851	0.98910	9226	RF50	wnut15.train	wnut15.train	NED
True	1	2	1	0.55833	0.58515	0.57143	229	RF50	wnut15.train	wnut15.train	NED
True	1	2	LOC	0.25424	0.25862	0.25641	58	DT	wnut15.train	wnut15.train	NER
True	1	2	ORG	0.27907	0.33333	0.30380	36	DT	wnut15.train	wnut15.train	NER
True	1	2	PER	0.55479	0.60000	0.57651	135	DT	wnut15.train	wnut15.train	NER
True	1	2	average	0.43533	0.47162	0.45257	0	DT	wnut15.train	wnut15.train	NER
True	1	2	0	0.99022	0.98819	0.98920	9226	DT	wnut15.train	wnut15.train	NED
True	1	2	1	0.56048	0.60699	0.58281	229	DT	wnut15.train	wnut15.train	NED
True	1	3	LOC	0.38889	0.32308	0.35294	65	RF50	wnut15.train	wnut15.train	NER
True	1	3	ORG	0.52632	0.55556	0.54054	36	RF50	wnut15.train	wnut15.train	NER
True	1	3	PER	0.56835	0.60305	0.58519	131	RF50	wnut15.train	wnut15.train	NER
True	1	3	average	0.51154	0.51724	0.51319	0	RF50	wnut15.train	wnut15.train	NER
True	1	3	0	0.99013	0.99024	0.99019	9223	RF50	wnut15.train	wnut15.train	NED
True	1	3	1	0.61039	0.60776	0.60907	232	RF50	wnut15.train	wnut15.train	NED
True	1	3	LOC	0.41176	0.43077	0.42105	65	DT	wnut15.train	wnut15.train	NER
True	1	3	ORG	0.41667	0.55556	0.47619	36	DT	wnut15.train	wnut15.train	NER
True	1	3	PER	0.57343	0.62595	0.59854	131	DT	wnut15.train	wnut15.train	NER
True	1	3	average	0.50381	0.56034	0.52983	0	DT	wnut15.train	wnut15.train	NER
True	1	3	0	0.99130	0.98840	0.98985	9223	DT	wnut15.train	wnut15.train	NED
True	1	3	1	0.58687	0.65517	0.61914	232	DT	wnut15.train	wnut15.train	NED
False	1	1	LOC	0.22944	0.33544	0.27249	158	RF50	wnut15.train	wnut15.dev	NER
False	1	1	ORG	0.12281	0.14286	0.13208	49	RF50	wnut15.train	wnut15.dev	NER
False	1	1	PER	0.28045	0.36264	0.31629	273	RF50	wnut15.train	wnut15.dev	NER
False	1	0	average	0.24757	0.33125	0.28307	0	RF50	wnut15.train	wnut15.dev	NER
False	1	1	0	0.98335	0.97342	0.97836	15954	RF50	wnut15.train	wnut15.dev	NED
False	1	1	1	0.33853	0.45208	0.38715	480	RF50	wnut15.train	wnut15.dev	NED
False	1	1	LOC	0.23333	0.35443	0.28141	158	DT	wnut15.train	wnut15.dev	NER
False	1	1	ORG	0.08861	0.14286	0.10938	49	DT	wnut15.train	wnut15.dev	NER
False	1	1	PER	0.28889	0.38095	0.32859	273	DT	wnut15.train	wnut15.dev	NER
False	1	0	average	0.25016	0.34792	0.29068	0	DT	wnut15.train	wnut15.dev	NER
False	1	1	0	0.98388	0.97161	0.97770	15954	DT	wnut15.train	wnut15.dev	NED
False	1	1	1	0.33284	0.47083	0.38999	480	DT	wnut15.train	wnut15.dev	NED
False	1	1	LOC	0.37018	0.38018	0.37511	1110	RF50	wnut15.train	wnut16.test	NER
False	1	1	ORG	0.33333	0.11123	0.16680	908	RF50	wnut15.train	wnut16.test	NER
False	1	1	PER	0.23460	0.40558	0.29726	789	RF50	wnut15.train	wnut16.test	NER
False	1	0	average	0.32015	0.30032	0.28585	0	RF50	wnut15.train	wnut16.test	NER
False	1	1	0	0.97211	0.97211	0.97211	59813	RF50	wnut15.train	wnut16.test	NED
False	1	1	1	0.40577	0.40577	0.40577	2807	RF50	wnut15.train	wnut16.test	NED
False	1	1	LOC	0.36824	0.38649	0.37714	1110	DT	wnut15.train	wnut16.test	NER
False	1	1	ORG	0.25899	0.11894	0.16302	908	DT	wnut15.train	wnut16.test	NER
False	1	1	PER	0.23309	0.41065	0.29738	789	DT	wnut15.train	wnut16.test	NER
False	1	0	average	0.29491	0.30673	0.28546	0	DT	wnut15.train	wnut16.test	NER
False	1	1	0	0.97291	0.97022	0.97156	59813	DT	wnut15.train	wnut16.test	NED
False	1	1	1	0.40074	0.42430	0.41218	2807	DT	wnut15.train	wnut16.test	NED
False	1	1	LOC	0.16564	0.11066	0.13268	244	RF50	wnut15.train	wnut17.test	NER
False	1	1	ORG	0.07246	0.05682	0.06369	88	RF50	wnut15.train	wnut17.test	NER
False	1	1	PER	0.42938	0.27094	0.33224	561	RF50	wnut15.train	wnut17.test	NER
False	1	0	average	0.32214	0.20605	0.25125	0	RF50	wnut15.train	wnut17.test	NER
False	1	1	0	0.97372	0.98699	0.98031	22524	RF50	wnut15.train	wnut17.test	NED
False	1	1	1	0.50000	0.32811	0.39621	893	RF50	wnut15.train	wnut17.test	NED
False	1	1	LOC	0.14573	0.11885	0.13093	244	DT	wnut15.train	wnut17.test	NER
False	1	1	ORG	0.03922	0.04545	0.04211	88	DT	wnut15.train	wnut17.test	NER
False	1	1	PER	0.43909	0.27629	0.33917	561	DT	wnut15.train	wnut17.test	NER
False	1	0	average	0.31953	0.21053	0.25300	0	DT	wnut15.train	wnut17.test	NER
False	1	1	0	0.97421	0.98455	0.97935	22524	DT	wnut15.train	wnut17.test	NED
False	1	1	1	0.46789	0.34267	0.39560	893	DT	wnut15.train	wnut17.test	NED
True	1	1	LOC	0.46875	0.40000	0.43165	75	RF50	wnut16.train	wnut16.train	NER
True	1	1	ORG	0.52778	0.47500	0.50000	40	RF50	wnut16.train	wnut16.train	NER
True	1	1	PER	0.48760	0.43066	0.45736	137	RF50	wnut16.train	wnut16.train	NER
True	1	1	average	0.48837	0.42857	0.45648	0	RF50	wnut16.train	wnut16.train	NER
True	1	1	0	0.98711	0.99044	0.98877	9203	RF50	wnut16.train	wnut16.train	NED
True	1	1	1	0.60181	0.52778	0.56237	252	RF50	wnut16.train	wnut16.train	NED
True	1	1	LOC	0.44928	0.41333	0.43056	75	DT	wnut16.train	wnut16.train	NER
True	1	1	ORG	0.50000	0.50000	0.50000	40	DT	wnut16.train	wnut16.train	NER
True	1	1	PER	0.48438	0.45255	0.46792	137	DT	wnut16.train	wnut16.train	NER
True	1	1	average	0.47641	0.44841	0.46189	0	DT	wnut16.train	wnut16.train	NER
True	1	1	0	0.98763	0.98924	0.98844	9203	DT	wnut16.train	wnut16.train	NED
True	1	1	1	0.58228	0.54762	0.56442	252	DT	wnut16.train	wnut16.train	NED
True	1	2	LOC	0.25455	0.24138	0.24779	58	RF50	wnut16.train	wnut16.train	NER
True	1	2	ORG	0.31429	0.30556	0.30986	36	RF50	wnut16.train	wnut16.train	NER
True	1	2	PER	0.53333	0.59259	0.56140	135	RF50	wnut16.train	wnut16.train	NER
True	1	2	average	0.42829	0.45852	0.44243	0	RF50	wnut16.train	wnut16.train	NER
True	1	2	0	0.98958	0.98840	0.98899	9226	RF50	wnut16.train	wnut16.train	NED
True	1	2	1	0.55417	0.58079	0.56716	229	RF50	wnut16.train	wnut16.train	NED
True	1	2	LOC	0.25862	0.25862	0.25862	58	DT	wnut16.train	wnut16.train	NER
True	1	2	ORG	0.27273	0.33333	0.30000	36	DT	wnut16.train	wnut16.train	NER
True	1	2	PER	0.55034	0.60741	0.57746	135	DT	wnut16.train	wnut16.train	NER
True	1	2	average	0.43281	0.47598	0.45309	0	DT	wnut16.train	wnut16.train	NER
True	1	2	0	0.99022	0.98786	0.98904	9226	DT	wnut16.train	wnut16.train	NED
True	1	2	1	0.55378	0.60699	0.57917	229	DT	wnut16.train	wnut16.train	NED
True	1	3	LOC	0.37931	0.33846	0.35772	65	RF50	wnut16.train	wnut16.train	NER
True	1	3	ORG	0.51429	0.50000	0.50704	36	RF50	wnut16.train	wnut16.train	NER
True	1	3	PER	0.56522	0.59542	0.57993	131	RF50	wnut16.train	wnut16.train	NER
True	1	3	average	0.50523	0.50862	0.50636	0	RF50	wnut16.train	wnut16.train	NER
True	1	3	0	0.99003	0.99013	0.99008	9223	RF50	wnut16.train	wnut16.train	NED
True	1	3	1	0.60606	0.60345	0.60475	232	RF50	wnut16.train	wnut16.train	NED
True	1	3	LOC	0.40580	0.43077	0.41791	65	DT	wnut16.train	wnut16.train	NER
